分類,チェック,単語,意味,補足,,,
,TRUE,abbreviated ,省略された,,,,
,TRUE,absorb,吸収される,,,,
,TRUE,absurd,馬鹿げた,,,,
,TRUE,acclaime,評価する、喝采する,,,,
,TRUE,acclaimed,高く評価された,,,,
,FALSE,accolade,栄誉,,allocate,,
,TRUE,accomplished,skilled,,,,
,TRUE,adverse,"よくない
adversely よくない",,,"ver 回転 ,ad 前へ",
,TRUE,advertise,広告する,,,,
,TRUE,all the way,道中ずっと,,,,
,TRUE,alleviate,やわらげる,,,,
,TRUE,amid,真っ最中に,,,,
,TRUE,anticipated,予測された、期待された,,,,
,TRUE,apparatus,"器具一式
a set of equipment or tools or a machine that is used for a particular purpose",,,,
,TRUE,appetizer,前菜,,,,
,TRUE,apply for ,申請する,apply for funds 基金を申請する,,,
,TRUE,appreciation,感謝,,,,
,FALSE,apprehension,"不安、心配
worry about the future, or a fear that something unpleasant is going to happen
",,,,
,TRUE,apprentice,見習い,,,,
,FALSE,archival,記録文書の,,,,
,TRUE,artisanal,職人の,,,,
,TRUE,as such,それゆえに,,,,
,TRUE,assortment,品揃え,,,,
,TRUE,astonish,驚かせる,,,,
,TRUE,at your erliest convenience,,,,,
,TRUE,attentive,細やかな,,,,
,TRUE,Avenue,大通りの,,,,
,TRUE,aviation,航空の,,,,
難,TRUE,avid,熱心な,,,,
,TRUE,award,to give money or a prize following an official decision,,,,
,TRUE,barbados,バルバトス,,,,
,TRUE,barely,めったに,,,,
,FALSE,barren,不毛な,,,,
難,TRUE,be backed with,に裏付けされている,,,,
,TRUE,be inducted into,の一員として認められている,,im duce 中に導く deduct,,
,TRUE,be no stranger to,精通している,,,,
,TRUE,be out of work,失業中である,,,,
難,TRUE,be through,終わる,,be over ,,
,TRUE,be through with,終われせる,,be have done with,,
,TRUE,bearer,運ぶ人、持参人,,,,
,FALSE,beneath,真下に,,,,
,TRUE,benefits package ,福利厚生,,,,
,TRUE,bidder,入札者,,,,
,TRUE,biography,経歴,,,,
,TRUE,blank wall,無地の壁,,,,
,TRUE,blind,ブラインド drape,,,,
,FALSE,blow up,爆発する。引き伸ばしする。膨らませる,,,,
,TRUE,branch out into,活動範囲を広げる,,,,
,TRUE,brightly,賢く,,,,
,TRUE,bring  on board,を加える,,,,
,FALSE,boutique,"a small shop that sells fashionable clothes, shoes, jewellery, etc.",,,,
,FALSE,brokerage firm,仲介業者,,,,
,TRUE,brunch,"a meal eaten in the late morning that is a combination of breakfast and lunch
遅い朝食",,,,
,FALSE,bruised,傷がついた,,"hurt,injured",,
,TRUE,candid,率直に、正直に,,The two presidents have had candid talks about the current crisis.,,
,TRUE,carpool,相乗り,,,,
,TRUE,caterer,ケータリング業者,,,,
,TRUE,cause,大義,,,,
,TRUE,"cheif operating officer
COO",最高執行責任者,,,,
toeic,TRUE,chekout,"the place in a shop, especially a large food shop, where you pay for your goods
レジみたいな意味",Your fruit and vegetables will be weighed at the checkout.,,,
,TRUE,cider,サイダー,,,,
,TRUE,circulate,回覧する,,,,
,TRUE,civility,"politeness or a polite remark
丁寧さ",,,,
,TRUE,close by,すぐそばに,,,,
,TRUE,comes to close,終わりが近づいく,,,,
,TRUE,commensurate,匹敵する、相当する,,,,
,TRUE,company wide,全社的な,,,,
,TRUE,compensated,補償する,,,,
,TRUE,competent,"able to do something well
有能な",accomplished,,,
,TRUE,comply,to act according to an order,"observe
follow
adhere
There are serious penalties for failure to comply with the regulations.",,,
,TRUE,component,成分,,,,
,TRUE,composition,構成,,,,
,TRUE,compostable,堆肥化可能な,,,,
,FALSE,bump into,ばったりでくわす,,,,
,FALSE,computerised,"電子化された
controlled by or produced by a computer, especially when something was previously done by people or other machines:",,,,
,TRUE,considerably,かなり,"substantially
noticeably",,,
,TRUE,consignment,an amount of goods that is sent somewhere,,,,
,TRUE,consolidate,統合する,,,,
,TRUE,contamination,汚染,,contaminate,con ともに tango 触れ合う,
,TRUE,contempt,"軽蔑
a strong feeling of disliking and having no respect for someone or something adjectives contemptuous",At school she had complete contempt for all her teachers.,,,
難,TRUE,contention,議論、主張,,,,
難,FALSE,conceivable,"予測可能
possible to imagine or to believe:
thinkable",Books on every conceivable subject lined one wall.,,,
難,TRUE,convention,大会,,,,
,TRUE,convey,伝える,,,,
,TRUE,coordinator,someone whose job is to make different groups work together in an organized way to achieve something,,,,
,TRUE,cordially,こころを込めて,,,,
,TRUE,correction,"訂正
a change made to something in order to correct or improve it, or the action of making such a change",She was disappointed to see her essay returned with a huge number of corrections in red ink.,,,
,TRUE,corrupt,不正、堕落した,,,,
難,FALSE,contraceptive,contraception,"contra 反対 conception 思想 受胎
con ともに cept つかむ accept",,,
,TRUE,county,"郡 a political division of the UK or Ireland, forming the largest unit of local government, or the largest political division of a state in the US:",,,,
,TRUE,cubicle,個室,,,,
,FALSE,creek,"a narrow area of water that flows into the land from the sea
小川","I'm going to sail to the mouth of the Thames and then let the tide take me up a creek

tide 潮",,,
難,TRUE,curator,"学芸員,館長",,,,
,TRUE,customary,普通の,,,,
,TRUE,cut back on,減らす,,reduce,,
,FALSE,culinary,料理の,,cuisine,,
toeic,TRUE,deans,"学部長
an official of high rank in a college or university who is responsible for the organization of a department or departments:",She is the new dean of the Faculty of Social Sciences,,,
,FALSE,cutlery,食卓用金物類,,flatwere.,,
,FALSE,decentralized,地方分権にする　分配する,,,,Domain-driven design (abbreviated as DDD)
,TRUE,defective,Something that is defective has a fault in it and does not work correctly,,,,
,TRUE,deliberation,熟考,,,,
,TRUE,demolish,解体する,,,,
,TRUE,dent,へこみ,,,,
,TRUE,deplete,使い果たす,,,,
,TRUE,despise,軽蔑する,de 反対に specio 見る,,,
,TRUE,detectable,"検知可能な
that can be noticed or discovered",Tests show the virus is barely detectable in his blood,,,
,TRUE,detour,迂回路,,,,
,TRUE,device,an object or machine that has been invented for a particular purpose,,,,
,TRUE,diciplinary action,懲戒処分,,,,
,TRUE,dilute,薄める,,,,
,TRUE,dimensions,寸法,,,,
,TRUE,diplomat,外交官,,,,
,TRUE,disagree,反対する,,,,
,TRUE,discretion,"裁量,決定権",,,,
,TRUE,dispense,"分配する distribute
to give out things, especially products, services, or amounts of money",There is a vending machine on the platform that dispenses snacks.,,,
,TRUE,disruption,崩壊,,,,
,TRUE,distraction,注意をそらすもの,,,,
,TRUE,downside,"欠点
a disadvantage of a situation
disadvantage,drawback,flaw,inconvenience",,,,
,TRUE,downtown,n or to the central part of a city,,,,
,FALSE,deem X Y,XをYと見なす,,,,
,TRUE,drawing,抽選会,,,,
,TRUE,editorial,"relating to the editor (= the person in charge) or editors of a newspaper, magazine, television programme, etc
社説の,社説",,,,
,TRUE,effortlessly,難なく,,,,
,TRUE,eligible,資格のある,,,,
,TRUE,embassy,大使館,,,,
,TRUE,enchanting,very pleasant,,,,
,TRUE,endorse,承認する,,,,
,TRUE,entail,必要とする,,,,
,TRUE,entrant,"a person who becomes a member of a group or organization
参加者",,,,
,FALSE,dinner roll,"a small round piece of bread provided as a side dish as part of a meal
ぱんみたいなの",,,,
,TRUE,evenly,均一に,the grinds are perfectly consistent. It grinds beans evenly,,,
,TRUE,excite,興奮する、そそる、わくわく,,,,
,TRUE,exclusion,除外事項,,,,
,TRUE,exemplary,模範的な,,,,
,TRUE,expectation,期待されるもの,,,,
難,TRUE,expedite,促進する,,,,
,FALSE,dispute,"争い
an argument or disagreement, especially an official one between, for example, workers and employers or two countries with a common border",,,,
,TRUE,expenditure,費用,,,,
,TRUE,exquisite,精緻な,,,,
,TRUE,exterior,外観,,,,
,TRUE,eyesore,"an unpleasant or ugly sight in a public place
目障りな場所",They think the new library building is an eyesore.,,,
,TRUE,facial tissue,ティッシュペーパー,,,,
,FALSE,downturn,"
(景気・物価などの)下降、沈滞
a reduction in the amount or success of something, such as a country's economic activity",,,,
,TRUE,farewell,さようなら,,goodby,,
,TRUE,faulty (adjective),"A faulty machine or device is not perfectly made or does not work correctly

defective",faulty wiring/brakes,,,
,TRUE,fertilizer,化学肥料,,,,
,TRUE,finance,資金提供する,,,,
,TRUE,firmly,強く,,firm つよい,,
,TRUE,fiscal year,会計年度,,,,
,TRUE,fixture,"設備
a piece of equipment that stays attached to a house or other building:",,,,
,TRUE,flattering,魅力を引き立てる,flatter おだてる,flatter お世辞を立てる,,
,TRUE,flavoring,調味料,,,,
,TRUE,follow up,"to find out more about something, or take more action connected with it
再確認する、連絡する",,,,
,TRUE,forfeit,失う,,"penalty,fine",,
,TRUE,formulate,考案する,,,,
,TRUE,founder,創設者,,,,
,TRUE,fractiom,1部、ほんの少し,,,,
,TRUE,function,公式な式典,,,,
,TRUE,fund-raising,資金集めの,,,,
,TRUE,fundamental,基本的な,,,,
,TRUE,garment,衣服,,,,
,TRUE,generous,寛大な,,,,
,FALSE,ethnic,エスニック、民族,,,,
,TRUE,get to know one another ,お互い知り合う,,,,
,TRUE,gift certificate,ギフト券,,,,
,TRUE,given,を考えれば,,,November's sales figures were surprisingly high given the poor weather conditions during last month,
,TRUE,go over,超える,,,,
,TRUE,gourmet,美味な、食通な,,,,
,TRUE,graduate,卒業生,,,,
,TRUE,grainy,粒子の荒い,,,,
,TRUE,handheld,小型の,,,,
,TRUE,hangover,二日酔い,,,,
,TRUE,harbour,"an area of water next to the coast, often protected from the sea by a thick wall, where ships and boats can shelter
港",,,,
,TRUE,herald,"新時代、新しい一歩
to be a sign that something important, and often good, is starting to happen, or to make something publicly known, especially by celebrating or praising it
messenger",,,,
,TRUE,high-rize,高層の,,,,
,TRUE,household,家庭の,,,,
,TRUE,iconic,象徴的な,,,,
,FALSE,excuse,言い訳、弁解,,,,
,TRUE,impending,間近に,,im 上に pend 掛かっている,,
,TRUE,imperative,important urgent,,,,
,TRUE,improper,不適切な,,,,
,TRUE,in effect ,"事実上
in fact, or in practice",,,,
,TRUE,in line with,と一致して,,,,
,TRUE,in love with,恋している、大好き,,,,
,TRUE,in time for,に間に合って,,,,
,TRUE,in-depth,詳細な,,,,
,TRUE,in-store credit,店内クレジット,,,,
,FALSE,expel,退学させる,,,,
,FALSE,fair enough,結構です,,,,
,TRUE,initiation,最初の initiation fee 入会金,,,,
,TRUE,initiative,新しい試み、自発力,,,,
,TRUE,insulation,分離 絶縁,,,,
,TRUE,insult,侮辱する,,,,
,TRUE,intact,傷のない,,,,
,TRUE,interference,障害、妨害,,,,
,FALSE,foolish,stupid,,,,
,FALSE,get into,議論などを始める,,,,
,TRUE,intervene,"to intentionally become involved in a difficult situation in order to improve it or prevent it from getting worse
割って入る
interfere","The Central Bank intervened in the currency markets today to try to stabilize the exchange rate.
inter 間に venire 来る",,,
,TRUE,intimate,親密な　ほのめかす,,,,
難,TRUE,irreversible,取り返しのできない,,,,
,TRUE,jeopardy,危険,,,,
,TRUE,jugs,ジョッキ,,,,
,TRUE,just six months into a career,に入って6ヶ月で,,,,
